,Network Id,Retailer LocId,Retailer Location Name,Agency #,Activation Start Date,Activation End Date,Vacation Start1,Vacation End1,Vacation Start2,Vacation End2,Vacation Start3,Vacation End3,Vacation Start4,Vacation End4,Holiday1,Holiday2,Holiday3,Holiday4,Location Address,Location City,Location Region,Location Postalcode,Location Phone,Location Email,Location Direction,Working Days,Opening Hr Day1,Opening Hr Day2,Opening Hr Day3,Opening Hr Day4,Opening Hr Day5,Opening Hr Day6,Opening Hr Day7,Opening Hrs Holiday,Lattitude,Longitude,Is Active,Last Update,Unique Key,Location Address2
,FRMRS,86886,AUCHAN EPINAY SUR SEINE,9300,27-11-2013,,,,,,,,,,11-7-2015,,,,5 AVENUE DE LATTRE DE TASSIGNY,EPINAY SUR SEINE,,93800,,,,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00","08:30 - 21:00,00:00 - 00:00",,"48,954453","2,3135662",Y,01-MAR-16 10.47.56.980868000 AM,28792445FDD926653E93C717871123A5,CENTRE COMMERCIAL L'ILO
,FRMRS,86894,ETABLISSEMENTS COMMUNEAU,7170,6-2-2012,,,,,,,,,,2-5-2015,9-5-2015,15-5-2015,16-5-2015,23A RUE RAYMOND MONDON,ROMBAS,,57120,,,EN FACE DE FLEURISTE,"Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 19:00","09:00 - 12:00,14:00 - 18:00",,"49,252735","6,0942907",Y,01-MAR-16 10.47.56.980868000 AM,759CC29FF94CFC80C393947865F3C7C4,
,FRMRS,86924,M.N.T.T TANISHA,2542,20-1-2016,,,,,,,,,,,,,,51-53 RUE DE MENILMONTANT,PARIS,,75020,,,METRO MENILMONTANT             LIGNE 2,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00","11:00 - 12:00,14:00 - 23:00",,"48,868035","2,3870345",Y,01-MAR-16 10.47.56.980868000 AM,905A5CF806374522DD9211BEB34B4768,
,FRMRS,86967,S.VOTRELEC,6882,2-2-2016,,2-3-2016,2-4-2016,,,,,,,26-2-2016,27-2-2016,,,28 RUE ESNAULT PELETERIE,BOULOGNE,,92100,,,,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:00 - 12:00,14:00 - 18:00","08:00 - 12:00,14:00 - 18:00","08:00 - 12:00,14:00 - 18:00","08:00 - 12:00,14:00 - 18:00","08:00 - 12:00,14:00 - 18:00","08:00 - 12:00,00:00 - 00:00",,"48,8315796","2,2333322",Y,01-MAR-16 10.47.56.980868000 AM,F2246019436AAB333A248F7D8E55D302,
,FRMRS,86975,KARI ANGE MARIGNY TABAC PRESSE,7153,6-5-2010,,22-12-2015,5-1-2016,,,,,,,,,,16-8-2013,7 PLACE ST PIERRE,SAINT-CHAMOND,,42400,,,CENTRE VILLE PLACE ST PIERRE,"Mon,Tue,Wed,Thu,Fri,Sat","07:00 - 12:00,00:00 - 00:00","06:30 - 12:30,00:00 - 00:00","06:30 - 19:00,00:00 - 00:00","06:30 - 19:00,00:00 - 00:00","06:30 - 19:00,00:00 - 00:00","06:30 - 19:00,00:00 - 00:00","06:30 - 19:00,00:00 - 00:00",,"45,47801","4,5131707",Y,01-MAR-16 10.47.56.980868000 AM,D629F9C75AA40D95679048549A07326E,
,FRMRS,86983,INTERMARCHE,5118,13-8-2011,,,,,,,,,,,,,16-8-2013,783 RUE PASTEUR,PONT SAINTE MAXENCE,,60700,,,A L ACCUEIL DE L INTERMARCHE,"Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00","08:30 - 19:30,00:00 - 00:00",,"49,307602","2,5944688",Y,01-MAR-16 10.47.56.980868000 AM,C6A9B1ACF22415966E42D50066F3B98E,
,FRMRS,87017,SPAR,7153,13-1-2016,,,,,,,,,,,,,,2 PLACE JEAN MOULIN,SAINT-ETIENNE,,42000,,,PLACE JEAN MOULIN,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00","08:00 - 19:45,00:00 - 00:00",,"45,4376955","4,3920516",Y,01-MAR-16 10.47.56.980868000 AM,D690D615A1CDA2B463F9A1FA8C7D11AC,
,FRMRS,87033,LE VINARIUM,3018,28-8-2010,,,,,,,,,,27-7-2013,3-8-2013,10-8-2013,17-8-2013,ROUTE DU PRE DE PAQUES,BRIGNOLES,,83170,,,QUARTIER PRE DE PAQUES,"Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00","09:30 - 12:30,15:00 - 19:00",,"43,40627","6,061752",Y,01-MAR-16 10.47.56.980868000 AM,7701902D14E14C00DE5C13B9B0B15B41,QUARTIER PRE DE PAQUES
,FRMRS,87041,STATION SERVICE ELAN,7196,1-7-2013,,,,,,,,,,17-10-2015,,,16-8-2013,26 AVENUE DE LA GARE,COULONGE SUR L'AUTIZE,,79160,,,CENTRE BOURG,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","07:30 - 12:30,14:00 - 18:30","07:30 - 12:30,13:30 - 19:30","07:30 - 12:30,13:30 - 19:30","07:30 - 12:30,13:30 - 19:30","07:30 - 12:30,13:30 - 19:30","08:00 - 13:00,00:00 - 00:00",,"46,48052","-0,5953443",Y,01-MAR-16 10.47.56.980868000 AM,B074CAF06A9117B2AD033A2D6B83E1CC,
,FRMRS,87050,SUPER U - ACCUEIL,2216,29-5-2014,,,,,,,,,,,,,,ROUTE DE L'ENERGIE,LA BATHIE,,73540,,,,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","09:00 - 12:30,15:00 - 19:00","09:00 - 12:30,15:00 - 19:00","09:00 - 12:30,15:00 - 19:00","09:00 - 12:30,15:00 - 19:00","09:00 - 12:30,15:00 - 19:00","09:00 - 12:30,15:00 - 19:00",,"45,636626","6,441132",Y,01-MAR-16 10.47.56.980868000 AM,39D58004DCDBD6A908BF90D747B31286,ZONE COMMERCIALE DU CHATEAU
